property_name,property_type,sales_status,location,rooms,area,tag,unit_price,total_price
楼盘名称,物业类型,销售状态,位置,房型,面积,标签,单价,总价
启迪金座,商业类,在售,龙岗区/大运新城/龙飞大道启迪金座,1室,"
建面 36-38㎡
","
","
100
 万/套(总价)
",总价100万/套
龙光玖龙台,商业类,在售,光明区/公明/光明大道与观光路交汇处,2室/3室,"
建面 73-98㎡
","
新盘首开
品牌房企
小户型
","
44000
 元/平(均价)
",总价321万/套
华晖瑞禧,住宅,在售,龙岗区/坂田/永香路华晖瑞禧,2室/3室/4室,"
建面 82-143㎡
","
大型社区
","
58000
 元/平(均价)
",总价475万/套
佳兆业盐田城市广场,住宅,在售,盐田区/盐田港/盐田路24号,3室/4室/5室,"
建面 71-140㎡
","
免费专车
品牌房企
人车分流
购物方便
娱乐丰富
","
50000
 元/平(均价)
",总价450万/套
龙湖·春江天玺,住宅,在售,龙华区/龙华中心/油松街道工业路和油松路交汇处以北,3室/4室,"
建面 100-123㎡
","
新盘首开
品牌房企
贴心物业
车位充足
","
61000
 元/平(均价)
",总价610万/套
里城玺樾山,住宅,在售,龙岗区/布吉水径/深圳吉华 三联郊野公园布李路西侧,3室,"
建面 80-94㎡
","
免费专车
小户型
绿化率高
购物方便
娱乐丰富
","
52000
 元/平(均价)
",总价407万/套
银领公馆,住宅,在售,龙岗区/布吉大芬/龙岗布澜路与龙岗大道交汇处,2室/3室,"
建面 47-79㎡
","
免费专车
小户型
地铁沿线
多轨交汇
现房
","
49000
 元/平(均价)
",总价367万/套
亚钢1号,写字楼,下期待开,龙岗区/平湖/龙岗平湖街道富安大道与水门路交汇处东北,,"

","
购物方便
美食云集
","
价格待定
",暂无
保利24季,住宅,在售,大鹏新区/大鹏半岛/大鹏办事处鹏飞路与爱康路交汇处南侧,3室,"
建面 85-106㎡
","
品牌房企
小型社区
人车分流
","
27000
 元/平(均价)
",总价230万/套
东关乐尚林居,住宅,在售,南山区/南头/南山同乐中山园路西侧,5室,"
建面 80-177㎡
","
免费专车
近主干道
绿化率高
小型社区
购物方便
","
78000
 元/平(均价)
",总价1350万/套
